CLASS,VALUE
M           ,46873.08
F         ,41769.24
F         ,41769.24
M           ,39411.24
F         ,35045.04
F         ,35045.04
F         ,39411.24
F         ,44642.04
M           ,44642.04
F         ,44642.04
M           ,36238.08
M           ,39411.24
M           ,36238.08
M           ,36238.08
M           ,41769.24
F         ,31501.2
M           ,45466.32
M           ,19705.68
F         ,46894.08
M           ,44642.04
M           ,23748.36
M           ,43553.4
M           ,39411.24
M           ,38302.32
F         ,44642.04
F         ,34722
F         ,39411.24
M           ,39411.24
F         ,46347
F         ,39411.24
F         ,39411.24
M           ,42521.64
M           ,43816.32
F         ,39411.24
F         ,41769.24
F         ,39411.24
F         ,44126.16
M           ,42521.64
M           ,46873.08
M           ,36238.08
F         ,39411.24
M           ,44642.04
F         ,39411.24
F         ,44642.04
M           ,46873.08
F         ,19705.68
M           ,36238.08
M           ,39350.04
M           ,46873.08
F         ,44642.04
M           ,44642.04
F         ,28536
M           ,44642.04
F         ,39411.24
F         ,49218
F         ,44642.04
M           ,25995.6
M           ,19705.68
M           ,39411.24
F         ,36238.08
M           ,41704.2
M           ,44642.04
M           ,39411.24
F         ,36238.08
M           ,41952
M           ,38241.48
M           ,41769.24
M           ,41769.24
F         ,23748.36
M           ,53270.76
M           ,44642.04
F         ,19705.68
F         ,37061.76
F         ,39411.24
F         ,36238.08
M           ,44642.04
F         ,50491.08
M           ,39411.24
F         ,44642.04
M           ,41769.24
F         ,44642.04
M           ,36238.08
M           ,41769.24
M           ,36238.08
F         ,37061.76
M           ,43553.4
F         ,44642.04
F         ,46873.08
F         ,36238.08
M           ,44642.04
F         ,44642.04
M           ,36238.08
M           ,46873.08
M           ,49218
M           ,44642.04
M           ,44642.04
F         ,36238.08
F         ,24375.48
M           ,39411.24
F         ,23748.36
M           ,36238.08
F         ,41769.24
M           ,41769.24
M           ,49218
M           ,44642.04
F         ,36238.08
F         ,36238.08
M           ,44642.04
M           ,44642.04
M           ,46873.08
M           ,44642.04
F         ,46873.08
F         ,44642.04
M           ,45226.68
F         ,46873.08
F         ,39411.24
F         ,36238.08
F         ,44642.04
M           ,39411.24
F         ,36238.08
M           ,39411.24
M           ,44642.04
F         ,36238.08
F         ,23748.36
M           ,51679.08
M           ,36238.08
M           ,39411.24
F         ,35045.04
M           ,44642.04
F         ,44642.04
F         ,51679.08
M           ,18119.04
M           ,53241.96
F         ,36238.08
F         ,32200.92
M           ,51167.28
F         ,53270.76
M           ,18119.04
M           ,36238.08
M           ,22275.24
M           ,41769.24
M           ,22275.24
F         ,46873.08
F         ,37900.32
M           ,46592.52
F         ,39411.24
M           ,44642.04
M           ,39063.84
F         ,39411.24
M           ,38203.92
F         ,41704.2
M           ,44642.04
M           ,41704.2
M           ,51679.08
M           ,70691.64
M           ,39411.24
M           ,51679.08
F         ,36238.08
M           ,44642.04
M           ,41769.24
M           ,36238.08
F         ,44642.04
M           ,44642.04
M           ,41769.24
M           ,41769.24
F         ,41769.24
F         ,44642.04
M           ,44642.04
M           ,44642.04
F         ,39411.24
M           ,46894.08
M           ,39411.24
F         ,46286.76
F         ,39411.24
F         ,23748.36
M           ,76416.84
M           ,44642.04
F         ,46873.08
M           ,43553.4
M           ,49513.92
M           ,66745.08
F         ,66745.08
M           ,35045.04
M           ,41704.2
M           ,44642.04
M           ,44642.04
M           ,44642.04
F         ,41704.2
M           ,44642.04
M           ,44642.04
M           ,36238.08
M           ,49218
M           ,46873.08
M           ,46287.12
M           ,44642.04
M           ,41769.24
M           ,44642.04
M           ,44642.04
M           ,36238.08
F         ,44126.16
F         ,46073.4
M           ,44642.04
M           ,46873.08
M           ,36238.08
M           ,41949.72
M           ,45070.44
M           ,44642.04
M           ,44642.04
F         ,39411.24
F         ,44126.16
F         ,44642.04
F         ,41769.24
F         ,39411.24
M           ,39411.24
F         ,23748.36
M           ,49218
F         ,39411.24
M           ,41769.24
M           ,41769.24
M           ,44642.04
M           ,41769.24
F         ,41769.24
F         ,44642.04
M           ,39411.24
M           ,39411.24
M           ,46873.08
F         ,25995.6
M           ,44642.04
F         ,39411.24
F         ,23748.36
F         ,39411.24
F         ,46873.08
M           ,38302.32
M           ,45253.08
M           ,44642.04
F         ,39411.24
M           ,39411.24
F         ,39411.24
M           ,44642.04
F         ,49218
M           ,39411.24
M           ,44642.04
M           ,44642.04
F         ,36238.08
M           ,39411.24
M           ,39411.24
M           ,44642.04
M           ,39411.24
M           ,44642.04
F         ,39411.24
M           ,41769.24
M           ,39411.24
M           ,39411.24
M           ,46873.08
M           ,41769.24
M           ,41769.24
F         ,39411.24
M           ,19705.68
M           ,41769.24
M           ,22275.24
M           ,24375.48
M           ,21732
M           ,31104.6
M           ,36238.08
M           ,39411.24
M           ,44642.04
F         ,19705.68
M           ,53270.76
M           ,39411.24
M           ,41769.24
F         ,39411.24
F         ,46894.08
F         ,44642.04
M           ,44642.04
F         ,31104.6
M           ,44642.04
M           ,36238.08
F         ,44642.04
F         ,41769.24
M           ,39411.24
M           ,36238.08
M           ,46873.08
M           ,41769.24
M           ,44642.04
M           ,44642.04
M           ,44642.04
M           ,44642.04
F         ,39411.24
F         ,39411.24
M           ,36238.08
F         ,44642.04
F         ,39411.24
M           ,36238.08
M           ,36238.08
M           ,39411.24
M           ,39411.24
M           ,39411.24
F         ,39411.24
M           ,39411.24
M           ,41769.24
M           ,39411.24
M           ,41769.24
M           ,39411.24
M           ,41769.24
F         ,39063.84
M           ,36238.08
M           ,41769.24
M           ,43553.4
M           ,39411.24
M           ,41769.24
M           ,41769.24
F         ,41769.24
F         ,19705.68
F         ,39411.24
M           ,36238.08
F         ,44642.04
M           ,44642.04
M           ,44642.04
M           ,49218
M           ,44642.04
F         ,44642.04
M           ,44642.04
F         ,22275.24
M           ,41704.2
F         ,39411.24
M           ,39411.24
M           ,39411.24
M           ,44642.04
M           ,44642.04
F         ,19705.68
M           ,44642.04
F         ,36238.08
M           ,44642.04
F         ,36238.08
M           ,41769.24
M           ,39411.24
F         ,19705.68
M           ,36238.08
M           ,44642.04
M           ,39411.24
M           ,43553.4
M           ,39411.24
M           ,44642.04
M           ,36238.08
M           ,39411.24
M           ,19705.68
M           ,44642.04
F         ,44642.04
M           ,44642.04
F         ,41769.24
M           ,44706.12
M           ,41769.24
M           ,44642.04
M           ,44642.04
M           ,41769.24
M           ,39411.24
F         ,31104.6
M           ,44642.04
M           ,41769.24
F         ,41769.24
M           ,39411.24
M           ,36238.08
F         ,36238.08
M           ,43032
F         ,39411.24
M           ,41769.24
M           ,39411.24
M           ,41769.24
M           ,39411.24
M           ,44642.04
M           ,41769.24
F         ,39411.24
M           ,36238.08
F         ,19705.68
M           ,46592.52
F         ,56312.16
M           ,39411.24
M           ,44642.04
M           ,41769.24
F         ,39411.24
M           ,41769.24
F         ,39411.24
F         ,44642.04
M           ,44642.04
M           ,39411.24
M           ,46873.08
M           ,44642.04
F         ,46073.4
F         ,43553.4
F         ,41769.24
F         ,59735.04
M           ,44642.04
F         ,29942.64
F         ,44642.04
F         ,39411.24
M           ,39411.24
M           ,39411.24
M           ,41949.72
F         ,44642.04
F         ,41769.24
F         ,43879.44
F         ,33195.72
M           ,43553.4
M           ,39411.24
F         ,44642.04
M           ,46873.08
M           ,28064.4
M           ,66579.84
M           ,44642.04
F         ,41769.24
F         ,44642.04
F         ,39411.24
F         ,22275.24
M           ,44642.04
M           ,41769.24
M           ,36238.08
M           ,36238.08
M           ,36238.08
M           ,45070.44
M           ,43816.32
F         ,40496.16
M           ,41769.24
M           ,19705.68
M           ,44642.04
M           ,41769.24
M           ,36238.08
M           ,39411.24
F         ,44642.04
M           ,44642.04
F         ,39411.24
M           ,39411.24
M           ,41769.24
M           ,36238.08
F         ,39411.24
F         ,46894.08
F         ,39411.24
F         ,39411.24
M           ,39411.24
M           ,39411.24
M           ,39411.24
F         ,23748.36
M           ,44642.04
M           ,39411.24
F         ,22275.24
F         ,37061.76
M           ,36238.08
F         ,36238.08
F         ,39411.24
M           ,44352
M           ,49218
M           ,45070.44
F         ,44331.6
F         ,36238.08
F         ,23748.36
M           ,36238.08
F         ,28536
M           ,44642.04
F         ,44706.12
F         ,29942.64
M           ,39411.24
F         ,46873.08
F         ,39411.24
F         ,41769.24
M           ,39411.24
M           ,41704.2
F         ,44642.04
M           ,41769.24
F         ,41769.24
F         ,22275.24
M           ,39411.24
M           ,44642.04
M           ,36238.08
M           ,41769.24
M           ,44642.04
F         ,36238.08
M           ,41769.24
M           ,41769.24
M           ,45526.32
F         ,31501.2
F         ,44642.04
M           ,41769.24
F         ,39411.24
F         ,36238.08
M           ,41769.24
M           ,36238.08
M           ,39411.24
M           ,39411.24
F         ,44642.04
M           ,44642.04
F         ,44642.04
F         ,44979.48
M           ,34190.4
F         ,46873.08
F         ,48586.32
M           ,66745.08
M           ,40458.12
F         ,24375.48
F         ,29672.52
F         ,23748.36
F         ,49218
M           ,44642.04
F         ,43553.4
F         ,44642.04
F         ,36238.08
F         ,41769.24
F         ,39411.24
F         ,41769.24
M           ,36238.08
M           ,44979.48
F         ,39411.24
F         ,46894.08
F         ,37061.76
F         ,44642.04
M           ,44642.04
M           ,44642.04
F         ,36238.08
M           ,41769.24
M           ,36238.08
M           ,44642.04
M           ,44642.04
M           ,39411.24
M           ,39411.24
F         ,41769.24
F         ,39411.24
M           ,41769.24
M           ,44642.04
M           ,43553.4
M           ,36238.08
F         ,44642.04
M           ,35947.92
M           ,41769.24
M           ,44642.04
M           ,41769.24
M           ,36238.08
M           ,44642.04
F         ,39411.24
M           ,44642.04
F         ,36238.08
F         ,41769.24
M           ,37308.72
M           ,44642.04
F         ,36238.08
F         ,44642.04
F         ,44642.04
F         ,36238.08
F         ,39411.24
F         ,23169.24
F         ,29942.64
M           ,36238.08
F         ,23748.36
M           ,19225.08
F         ,44979.48
F         ,37061.76
M           ,41949.72
F         ,35045.04
F         ,46873.08
M           ,66745.08
M           ,41769.24
F         ,44642.04
M           ,44331.6
F         ,41949.72
F         ,36238.08
F         ,18119.04
F         ,44642.04
F         ,41949.72
M           ,44642.04
F         ,44642.04
F         ,45526.32
F         ,34722
F         ,41949.72
F         ,39411.24
M           ,52890
M           ,46873.08
F         ,41769.24
F         ,41769.24
M           ,39411.24
F         ,41769.24
F         ,46873.08
F         ,24468
F         ,43553.4
F         ,44642.04
M           ,44642.04
M           ,44642.04
F         ,41704.2
M           ,39411.24
M           ,44706.12
